team1,team2,number of goals team1,number of goals team2,date,hour,category,yellow cards team1,yellow cards team2,red cards team1,red cards team2,fouls against team1,fouls against team2,offsides team1,offsides team2,corners team1,corners team2,penalties scored team1,penalties scored team2
QATAR,ECUADOR,0,2,20 NOV 2022,17:00:00,Group A,4,2,0,0,15,15,3,4,1,3,0,1
ENGLAND,IRAN,6,2,21 NOV 2022,14:00:00,Group B,0,2,0,0,9,14,2,2,8,0,0,1
SENEGAL,NETHERLANDS,0,2,21 NOV 2022,17:00:00,Group A,2,1,0,0,13,13,2,1,6,7,0,0
UNITED STATES,WALES,1,1,21 NOV 2022,20:00:00,Group B,4,2,0,0,15,10,1,1,5,3,0,1
ARGENTINA,SAUDI ARABIA,1,2,22 NOV 2022,11:00:00,Group C,0,6,0,0,7,21,10,1,9,2,1,0
DENMARK,TUNISIA,0,0,22 NOV 2022,14:00:00,Group D,2,1,0,0,9,10,1,1,11,9,0,0
MEXICO,POLAND,0,0,22 NOV 2022,17:00:00,Group C,2,1,0,0,14,16,3,0,6,5,0,0
FRANCE,AUSTRALIA,4,1,22 NOV 2022,20:00:00,Group D,0,3,0,0,5,11,0,0,8,1,0,0
MOROCCO,CROATIA,0,0,23 NOV 2022,11:00:00,Group F,1,0,0,0,17,11,0,1,0,5,0,0
GERMANY,JAPAN,1,2,23 NOV 2022,14:00:00,Group E,0,0,0,0,6,14,4,4,6,6,1,0
SPAIN,COSTA RICA,7,0,23 NOV 2022,17:00:00,Group E,0,2,0,0,8,12,3,7,5,0,1,0
BELGIUM,CANADA,1,0,23 NOV 2022,20:00:00,Group F,3,2,0,0,11,14,0,1,4,4,0,0
SWITZERLAND,CAMEROON,1,0,24 NOV 2022,11:00:00,Group G,2,1,0,0,12,10,2,2,11,5,0,0
URUGUAY,KOREA REPUBLIC,0,0,24 NOV 2022,14:00:00,Group H,1,1,0,0,7,10,1,0,4,3,0,0
PORTUGAL,GHANA,3,2,24 NOV 2022,17:00:00,Group H,2,4,0,0,14,19,1,1,3,3,1,0
BRAZIL,SERBIA,2,0,24 NOV 2022,20:00:00,Group G,0,3,0,0,7,12,1,0,6,4,0,0
WALES,IRAN,0,2,25 NOV 2022,11:00:00,Group B,1,2,1,0,9,10,2,2,2,7,0,0
QATAR,SENEGAL,1,3,25 NOV 2022,14:00:00,Group A,3,3,0,0,7,12,4,3,6,7,0,0
NETHERLANDS,ECUADOR,1,1,25 NOV 2022,17:00:00,Group A,0,1,0,0,15,12,1,4,2,5,0,0
ENGLAND,UNITED STATES,0,0,25 NOV 2022,20:00:00,Group B,0,0,0,0,9,15,1,0,3,7,0,0
TUNISIA,AUSTRALIA,0,1,26 NOV 2022,11:00:00,Group D,3,0,0,0,16,15,3,0,5,2,0,0
POLAND,SAUDI ARABIA,2,0,26 NOV 2022,14:00:00,Group C,3,2,0,0,18,15,0,0,4,5,0,0
FRANCE,DENMARK,2,1,26 NOV 2022,17:00:00,Group D,1,2,0,0,4,9,1,1,6,4,0,0
ARGENTINA,MEXICO,2,0,26 NOV 2022,20:00:00,Group C,1,4,0,0,15,19,2,4,4,2,0,0
JAPAN,COSTA RICA,0,1,27 NOV 2022,11:00:00,Group E,3,3,0,0,22,9,0,2,5,0,0,0
BELGIUM,MOROCCO,0,2,27 NOV 2022,14:00:00,Group F,1,1,0,0,10,14,3,3,9,1,0,0
CROATIA,CANADA,4,1,27 NOV 2022,17:00:00,Group F,2,2,0,0,13,5,1,3,5,2,0,0
SPAIN,GERMANY,1,1,27 NOV 2022,20:00:00,Group E,1,3,0,0,13,11,2,5,6,5,0,0
CAMEROON,SERBIA,3,3,28 NOV 2022,11:00:00,Group G,2,2,0,0,8,13,0,4,4,3,0,0
KOREA REPUBLIC,GHANA,2,3,28 NOV 2022,14:00:00,Group H,2,2,0,0,13,9,1,1,12,5,0,0
BRAZIL,SWITZERLAND,1,0,28 NOV 2022,17:00:00,Group G,1,1,0,0,10,17,3,1,8,3,0,0
PORTUGAL,URUGUAY,2,0,28 NOV 2022,20:00:00,Group H,3,2,0,0,10,16,2,0,6,2,1,0
NETHERLANDS,QATAR,2,0,29 NOV 2022,16:00:00,Group A,1,0,0,0,19,9,4,0,4,2,0,0
ECUADOR,SENEGAL,1,2,29 NOV 2022,16:00:00,Group A,0,1,0,0,23,11,0,3,3,6,0,1
WALES,ENGLAND,0,3,29 NOV 2022,20:00:00,Group B,2,0,0,0,16,9,1,1,1,6,0,0
IRAN,UNITED STATES,0,1,29 NOV 2022,20:00:00,Group B,3,1,0,0,13,10,2,1,1,5,0,0
AUSTRALIA,DENMARK,1,0,30 NOV 2022,16:00:00,Group D,2,1,0,0,11,10,1,3,2,6,0,0
TUNISIA,FRANCE,1,0,30 NOV 2022,16:00:00,Group D,1,0,0,0,14,6,3,2,7,8,0,0
POLAND,ARGENTINA,0,2,30 NOV 2022,20:00:00,Group C,1,1,0,0,6,11,0,0,1,9,0,0
SAUDI ARABIA,MEXICO,1,2,30 NOV 2022,20:00:00,Group C,6,1,0,0,20,18,2,6,1,8,0,0
CROATIA,BELGIUM,0,0,01 DEC 2022,16:00:00,Group F,0,1,0,0,7,9,4,0,2,4,0,0
CANADA,MOROCCO,1,2,01 DEC 2022,16:00:00,Group F,4,0,0,0,14,14,4,4,6,2,0,0
JAPAN,SPAIN,2,1,01 DEC 2022,20:00:00,Group E,3,0,0,0,9,6,2,2,0,2,0,0
COSTA RICA,GERMANY,2,4,01 DEC 2022,20:00:00,Group E,1,0,0,0,3,9,4,3,1,14,0,0
GHANA,URUGUAY,0,2,02 DEC 2022,16:00:00,Group H,2,5,0,0,18,11,2,2,5,2,0,0
KOREA REPUBLIC,PORTUGAL,2,1,02 DEC 2022,16:00:00,Group H,2,0,0,0,9,11,1,5,5,4,0,0
SERBIA,SWITZERLAND,2,3,02 DEC 2022,20:00:00,Group G,7,4,0,0,18,13,0,0,2,0,0,0
CAMEROON,BRAZIL,1,0,02 DEC 2022,20:00:00,Group G,5,2,1,0,14,14,0,1,3,11,0,0
NETHERLANDS,UNITED STATES,3,1,03 DEC 2022,16:00:00,Round of 16,2,0,0,0,10,5,0,3,4,5,0,0
ARGENTINA,AUSTRALIA,2,1,03 DEC 2022,20:00:00,Round of 16,0,2,0,0,8,15,4,0,1,3,0,0
FRANCE,POLAND,3,1,04 DEC 2022,16:00:00,Round of 16,1,2,0,0,10,8,3,1,7,1,0,1
ENGLAND,SENEGAL,3,0,04 DEC 2022,20:00:00,Round of 16,0,1,0,0,16,12,0,0,3,3,0,0
JAPAN,CROATIA,1,1,05 DEC 2022,16:00:00,Round of 16,0,2,0,0,13,16,3,0,8,5,0,0
BRAZIL,KOREA REPUBLIC,4,1,05 DEC 2022,20:00:00,Round of 16,0,1,0,0,8,13,0,5,5,4,1,0
MOROCCO,SPAIN,0,0,06 DEC 2022,16:00:00,Round of 16,1,1,0,0,15,14,5,4,0,8,0,0
PORTUGAL,SWITZERLAND,6,1,06 DEC 2022,20:00:00,Round of 16,0,2,0,0,12,10,3,3,6,6,0,0
CROATIA,BRAZIL,1,1,09 DEC 2022,16:00:00,Quarter-final,2,3,0,0,22,24,3,3,3,7,0,0
NETHERLANDS,ARGENTINA,2,2,09 DEC 2022,20:00:00,Quarter-final,8,8,1,0,30,18,1,2,2,8,0,1
MOROCCO,PORTUGAL,1,0,10 DEC 2022,16:00:00,Quarter-final,3,1,1,0,15,9,2,2,3,9,0,0
ENGLAND,FRANCE,1,2,10 DEC 2022,20:00:00,Quarter-final,1,3,0,0,10,14,1,2,5,2,1,0
ARGENTINA,CROATIA,3,0,13 DEC 2022,20:00:00,Semi-final,2,2,0,0,15,8,1,0,2,4,1,0
FRANCE,MOROCCO,2,0,14 DEC 2022,20:00:00,Semi-final,0,1,0,0,11,11,4,3,2,3,0,0
CROATIA,MOROCCO,2,1,17 DEC 2022,16:00:00,Play-off for third place,0,2,0,0,13,11,2,2,6,3,0,0
ARGENTINA,FRANCE,3,3,18 DEC 2022,16:00:00,Final,4,3,0,0,26,19,4,4,6,5,1,2
